Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,Lab,202401,"2,401",,,36,36,47,0.77,51,0.71,69,0.53,Normal,75,0.49
DQ,PEDIATRIC,ALI CHEMALI,2,1,Others,202401,"58,009",,,130,124,109,1.14,118,1.10,106,1.18,High,114,1.14
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,Others,202401,"4,609",,,66,63,109,0.58,118,0.56,106,0.60,Normal,114,0.58
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,Others,202401,"3,409",,,71,71,109,0.65,118,0.60,106,0.67,Normal,114,0.62
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,Others,202401,"28,856",,,108,102,109,0.93,118,0.92,106,0.97,Normal,114,0.95
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,Others,202401,"7,224",,,109,109,109,1.00,118,0.93,106,1.04,High,114,0.96
DQ,PEDIATRIC,ALI CHEMALI,2,1,PHR,202401,"108,058",,,242,232,204,1.14,221,1.10,200,1.16,High,216,1.12
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,PHR,202401,"13,315",,,190,182,204,0.90,221,0.86,200,0.91,Normal,216,0.88
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,PHR,202401,"11,195",,,233,233,204,1.15,221,1.06,200,1.16,High,216,1.08
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,PHR,202401,"44,671",,,168,158,204,0.78,221,0.76,200,0.79,Normal,216,0.78
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,PHR,202401,"13,278",,,201,201,204,0.99,221,0.91,200,1.00,Normal,216,0.93
DQ,PEDIATRIC,ALI CHEMALI,2,1,Radiology,202401,"2,448",,,5,5,7,0.80,7,0.77,7,0.79,Normal,7,0.76
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,Radiology,202401,"1,422",,,20,19,7,2.96,7,2.85,7,2.92,High,7,2.82
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,Radiology,202401,0,,,0,0,7,0.00,7,0.00,7,0.00,Normal,7,0.00
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,Radiology,202401,"2,018",,,8,7,7,1.08,7,1.06,7,1.07,High,7,1.05
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,Radiology,202401,273,,,4,4,7,0.63,7,0.58,7,0.62,Normal,7,0.57
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,Total,202401,"1,022",2,2,511,511,817,0.63,981,0.52,830,0.62,Normal,976,0.52
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,Total,202401,776,5,5,155,155,416,0.37,448,0.35,416,0.37,Normal,448,0.35
DC,ENT CLINIC,Referral Doctor,6,5,Total,202401,384,1,1,384,384,613,0.63,641,0.60,639,0.60,Normal,667,0.58
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,Total,202401,294,2,2,147,147,147,1.00,147,1.00,147,1.00,Normal,147,1.00
DC,DERMATOLOGY,Referral Doctor,12,2,Total,202401,186,1,1,186,186,566,0.33,579,0.32,556,0.33,Normal,579,0.32
DQ,PSYCHIATRY,MAHA FAQI,6,1,Consultation,202401,"24,476",,,266,263,187,1.41,191,1.39,205,1.28,High,212,1.25
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,Consultation,202401,"17,445",,,136,133,187,0.71,191,0.71,205,0.65,Normal,212,0.64
DQ,PSYCHIATRY,MAHA FAQI,6,1,Lab,202401,0,,,0,0,11,0.00,12,0.00,14,0.00,Normal,15,0.00
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,Lab,202401,"2,568",,,20,20,11,1.71,12,1.71,14,1.37,High,15,1.36
DQ,PSYCHIATRY,MAHA FAQI,6,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,0.00,Normal,0,0.00
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,0.00,Normal,0,0.00
DQ,PSYCHIATRY,MAHA FAQI,6,1,PHR,202401,"24,000",,,261,258,219,1.18,224,1.17,185,1.39,High,192,1.36
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,PHR,202401,"24,962",,,195,191,219,0.87,224,0.87,185,1.03,High,192,1.02
DQ,PSYCHIATRY,MAHA FAQI,6,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,CARDIOLOGY,Referral Doctor,18,1,Total,202401,156,1,1,156,156,156,1.00,156,1.00,"1,007",0.16,Normal,"1,007",0.16
DQ,UROLOGY CLINIC,Referral Doctor,7,3,Total,202401,148,1,1,148,148,559,0.27,571,0.26,485,0.31,Normal,490,0.30
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,Consultation,202401,"5,712",,,139,136,135,1.01,138,1.01,135,1.01,Normal,136,1.02
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,Consultation,202401,626,,,125,125,135,0.93,138,0.91,135,0.93,Normal,136,0.92
DQ,UROLOGY CLINIC,Referral Doctor,7,3,Consultation,202401,148,,,148,148,135,1.10,138,1.08,135,1.10,High,136,1.09
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,Lab,202401,"6,997",,,171,167,158,1.06,161,1.06,116,1.43,High,117,1.45
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,Lab,202401,575,,,115,115,158,0.73,161,0.71,116,0.99,Normal,117,0.98
DQ,UROLOGY CLINIC,Referral Doctor,7,3,Lab,202401,0,,,0,0,158,0.00,161,0.00,116,0.00,Normal,117,0.00
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,Others,202401,0,,,0,0,1,0.00,2,0.00,5,0.00,Normal,5,0.00
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,Others,202401,71,,,14,14,1,9.60,2,9.40,5,2.62,High,5,2.60
DQ,UROLOGY CLINIC,Referral Doctor,7,3,Others,202401,0,,,0,0,1,0.00,2,0.00,5,0.00,Normal,5,0.00
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,PHR,202401,"6,965",,,170,166,155,1.07,158,1.08,101,1.64,High,102,1.67
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,PHR,202401,454,,,91,91,155,0.59,158,0.58,101,0.90,Normal,102,0.89
DQ,UROLOGY CLINIC,Referral Doctor,7,3,PHR,202401,0,,,0,0,155,0.00,158,0.00,101,0.00,Normal,102,0.00
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,Radiology,202401,"5,286",,,129,126,110,1.14,112,1.15,128,0.99,Normal,129,1.00
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,Radiology,202401,0,,,0,0,110,0.00,112,0.00,128,0.00,Normal,129,0.00
DQ,UROLOGY CLINIC,Referral Doctor,7,3,Radiology,202401,0,,,0,0,110,0.00,112,0.00,128,0.00,Normal,129,0.00
DQ,OB-GYNE,Referral Doctor,3,3,Total,202401,147,1,1,147,147,684,0.21,755,0.19,674,0.22,Normal,771,0.19
DQ,ORTHOPEDICS,Referral Doctor,5,5,Total,202401,147,1,1,147,147,640,0.23,673,0.22,592,0.25,Normal,622,0.24
DC,PAIN CLINIC,Referral Doctor,19,1,Total,202401,118,1,1,118,118,118,1.00,118,1.00,118,1.00,Normal,118,1.00
Clinic Name,Hospital Name,appointment_bracket,Doctor Name Final,Unique count(Unique Claim),Unique count*(Patient ID),Sum(Company Share),Residual,Total,ACC,ACC Clinic,Ratio,Consultation,Lab,Others,PHR,Radiology
ENDOCRINE CLINIC,HMC - Al Narjis,202310, NOURAH ALZUGHAIBI,16,16,"6,308",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,837","2,494",,"1,639",338
ENDOCRINE CLINIC,HMC - Al Narjis,202310,AMANI ALRIFAII,9,9,"5,465",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,791,"2,832",,"1,843",
ENDOCRINE CLINIC,HMC - Al Narjis,202310,BAKHITAH  ALEID,19,19,"17,688",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,425","9,194",,"5,363",706
ENDOCRINE CLINIC,HMC - Al Narjis,202310,ENAS  HASAN,12,12,"16,953",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,364","13,038",,"2,197",355
ENDOCRINE CLINIC,HMC - Al Narjis,202310,YOUSEF QARAQESH,1,1,"1,330",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,881,,332,
ENT CLINIC,HMC - Al Narjis,202310,ABRAR TAWAKOUL,81,81,"18,712",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,949",618,750,"6,538",857
ENT CLINIC,HMC - Al Narjis,202310,SABRINE   NAJAR,66,64,"12,707",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"7,081",162,130,"5,257",78
ER CLINIC,HMC - Al Ghadeer,202310,ABDULAZIZ   ALALI,1,1,671,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,308,100,,146
ER CLINIC,HMC - Al Narjis,202310,ABDULAZIZ   ALALI,35,32,"9,032",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,320","1,173",759,127,"2,653"
ER CLINIC,HMC - Al Narjis,202310,ABDULMUHAIMEN   ALMUFTI,76,75,"15,220",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,354","1,061","3,304",495,"1,008"
ER CLINIC,HMC - Al Narjis,202310,AHLAM  Alomar,45,45,"8,350",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,473",825,"1,231",443,379
ER CLINIC,HMC - Al Narjis,202310,AHMED ALGHAMDI  AHMED ALGHAMDI,67,67,"11,641",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,461",386,"1,493",279,"1,022"
ER CLINIC,HMC - Al Narjis,202310,ALA  ALHOURANI,1,1,118,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,,,
ER CLINIC,HMC - Al Narjis,202310,Abdulrhman Alanzi,1,1,34,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,34,,
ER CLINIC,HMC - Al Narjis,202310,Amro Alhumaid,3,3,265,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,118,,
ER CLINIC,HMC - Al Narjis,202310,Duaa Aldalaen,1,1,701,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,508,5,,71
ER CLINIC,HMC - Al Narjis,202310,EBTIHAL TURKISTANI,13,13,"2,186",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,564",232,221,26,144
ER CLINIC,HMC - Al Narjis,202310,ELIAS ELIAS,66,65,"11,233",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,032","1,086","1,351",36,728
ER CLINIC,HMC - Al Narjis,202310,FAHAD ALHUQAYL  FAHAD ALHUQAYL,64,61,"10,957",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"7,050","2,227",968,179,533
ER CLINIC,HMC - Al Narjis,202310,Feras Aljabri,2,2,66,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,66,,
ER CLINIC,HMC - Al Narjis,202310,GHALLAB   AL BEAINY,73,72,"13,853",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,099","1,995","2,042",236,481
ER CLINIC,HMC - Al Narjis,202310,HALA ALGHANANEEM,1,1,168,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,168,,,,
ER CLINIC,HMC - Al Narjis,202310,HAMDAN ALMISHRAFI  HAMDAN ALMISHRAFI,3,3,412,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,412,,,,
ER CLINIC,HMC - Al Narjis,202310,HAYAM SHASH  HAYAM SHASH,54,54,"11,701",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,602",641,982,576,"2,900"
ER CLINIC,HMC - Al Narjis,202310,Hossam Ahmad,5,3,"5,134",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,647,"1,242",,,"3,245"
ER CLINIC,HMC - Al Narjis,202310,Ibrahim Muhainy,12,12,"1,499",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,482",,17,,
ER CLINIC,HMC - Al Narjis,202310,JOCELYNE  GHANIMEH,1,1,147,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,,,
ER CLINIC,HMC - Al Narjis,202310,Khaled Almutairi,4,4,819,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,517,49,252,,
ER CLINIC,HMC - Al Narjis,202310,Khalid  Alotaibi,35,35,"9,294",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,492","1,759","1,412",442,"1,189"
ER CLINIC,HMC - Al Narjis,202310,Khalid Al-otaibe,4,4,297,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,125,,172,,
ER CLINIC,HMC - Al Narjis,202310,MALEK ALAAULLAH  MALEK ALAAULLAH,5,5,"2,255",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,669,848,457,,281
ER CLINIC,HMC - Al Narjis,202310,MARWA BARKALLAH MARWA BARKALLAH,12,12,"1,574",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,574",,,,
ER CLINIC,HMC - Al Narjis,202310,MOHAMMED  MOHAMMED ALAWADI,1,1,122,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,5,,
ER CLINIC,HMC - Al Narjis,202310,Mazen Alyahya,1,1,294,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,147,,
ER CLINIC,HMC - Al Narjis,202310,Meshari Alsabawi,3,3,353,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,294,,59,,
ER CLINIC,HMC - Al Narjis,202310,Mohammad Alsubiay,1,1,15,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,15,,
ER CLINIC,HMC - Al Narjis,202310,Mohammad Alyahya,1,1,30,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,30,,
ER CLINIC,HMC - Al Narjis,202310,Mohammad Bajawi,1,1,133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,15,,
ER CLINIC,HMC - Al Narjis,202310,Munira  Alkhashan,19,18,"2,224",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,114",65,45,,
ER CLINIC,HMC - Al Narjis,202310,OLA IBRAHIM,21,20,"3,000",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,545",339,5,,112
ER CLINIC,HMC - Al Narjis,202310,RASHA FAWAZ ALSKAFF  RASHA FAWAZ ALSKAFF,9,9,"2,319",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,036",666,617,,
ER CLINIC,HMC - Al Narjis,202310,SOONAM SHAIKH,66,65,"10,763",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"7,742","1,189",627,125,"1,079"
ER CLINIC,HMC - Al Narjis,202310,SUHAIB  JABER,71,67,"11,444",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,384",162,"2,301",373,224
ER CLINIC,HMC - Al Narjis,202310,Sami Alenazi,1,1,397,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,132,,265,,
ER CLINIC,HMC - Al Narjis,202310,THAER SALEH,18,18,"4,380",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,239",779,"1,006",73,284
ER CLINIC,HMC - Al Narjis,202310,WAFA ALASWAD  WAFA ALASWAD,30,29,"4,106",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,487",,330,290,
ER CLINIC,HMC - Al Narjis,202310,YOUSEF QARAQESH,1,1,147,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,,,
FAMILY MEDICINE,HMC - Al Narjis,202310,ALA  ALHOURANI,46,45,"31,264",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,829","21,884",891,"2,391","1,269"
FAMILY MEDICINE,HMC - Al Narjis,202310,Anime Klabi,2,2,118,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,,,
FAMILY MEDICINE,HMC - Al Narjis,202310,Badriah Al Al Enizi,1,1,620,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,473,,
FAMILY MEDICINE,HMC - Al Narjis,202310,HALA ALGHANANEEM,30,30,"17,995",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,579","9,460",439,"3,991",525
FAMILY MEDICINE,HMC - Al Narjis,202310,Hanan Fayoumi,18,18,"8,509",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,137","4,413",404,"1,221",334
FAMILY MEDICINE,HMC - Al Narjis,202310,MAHMOOD Sqour,17,17,"6,437",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,614","3,673",0,"1,150",
FAMILY MEDICINE,HMC - Al Narjis,202310,RANIA SAGHIR,10,10,"2,947",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,079","1,472",105,291,
FAMILY MEDICINE,HMC - Al Narjis,202310,Sajeda  Alhawamedah,17,17,"9,083",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,527","7,198",,358,
FAMILY MEDICINE,HMC - Al Narjis,202310,Sultan Almuheza,15,14,"9,552",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,846","7,119",0,249,338
GENERAL SURGERY CLINIC,HMC - Al Narjis,202310,HADI  AL MOHSEN,5,4,840,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,529,,,54,258
GENERAL SURGERY CLINIC,HMC - Al Narjis,202310,MOAYAD  ALSAYYED,12,12,"4,488",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,374",,"2,002",663,449
GENERAL SURGERY CLINIC,HMC - Al Narjis,202310,SIRAGE  EDRIS,7,7,"2,509",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,735,,"1,338",102,334
INTERNAL MEDICINE CLINIC,HMC - Al Ghadeer,202310,OSAMA Charife,1,1,147,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,0,,,
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310, NOURAH ALZUGHAIBI,4,4,"3,287",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,529,"1,261",,"1,254",243
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310,AMANI ALRIFAII,5,5,"5,306",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,697,"2,600",,"1,654",355
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310,BAKHITAH  ALEID,12,12,"7,442",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,763","4,484",,918,277
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310,BASHAYER  ALBOGAMI,16,16,"12,397",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,279","6,184",404,"2,260","1,270"
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310,ENAS  HASAN,1,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,,
INTERNAL MEDICINE CLINIC,HMC - Al Narjis,202310,RAMZI RYADH,51,48,"33,697",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,723","19,779",142,"7,117",935
OB-GYNE,HMC - Al Narjis,202310,Duaa Aldalaen,48,46,"22,286",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,418","10,724",307,"1,765","4,071"
OB-GYNE,HMC - Al Narjis,202310,Ibtehal shabab,23,22,"10,732",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,837","2,788",199,"1,332","2,577"
OB-GYNE,HMC - Al Narjis,202310,RANA  ALTARAWNEH,24,23,"13,067",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,745","6,121",0,"2,235","1,965"
OB-GYNE,HMC - Al Narjis,202310,SANAA  TULBAH,48,47,"31,082",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,870","14,427",645,"6,013","4,127"
OPHTHALMOLOGY,HMC - Al Narjis,202310,ALAAELDIN  NAWAS,36,34,"7,217",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,247",51,"1,858","1,061",
OPHTHALMOLOGY,HMC - Al Narjis,202310,MOHAMMAD  ALSHAWABKEH,44,44,"7,822",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,795",198,478,"2,351",
ORTHOPEDICS,HMC - Al Narjis,202310,ALI   ELTAWEEL,59,59,"15,084",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,672",,192,"1,651","4,568"
PEDIATRIC,HMC - Al Narjis,202310,Amal AlZaeer,1,1,384,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,237,,
PEDIATRIC,HMC - Al Narjis,202310,Aryam Alanzi,1,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,0,,
PEDIATRIC,HMC - Al Narjis,202310,EBTIHAL TURKISTANI,26,26,"8,200",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,968","3,085",175,"1,972",
PEDIATRIC,HMC - Al Narjis,202310,ELIAS ELIAS,31,31,"8,228",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,600",175,"1,231","3,124",97
PEDIATRIC,HMC - Al Narjis,202310,HANAN  ALAMER,33,33,"10,035",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,788",764,"1,762","3,721",
PEDIATRIC,HMC - Al Narjis,202310,JOCELYNE  GHANIMEH,113,111,"38,107",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"16,404","3,743","10,063","7,034",862
PEDIATRIC,HMC - Al Narjis,202310,MARWA BARKALLAH MARWA BARKALLAH,15,15,"2,539",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,858",,114,567,
PEDIATRIC,HMC - Al Narjis,202310,OLA IBRAHIM,36,36,"12,629",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,392","2,090","2,759","3,149",239
PEDIATRIC,HMC - Al Narjis,202310,THAER SALEH,35,35,"9,714",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,263","1,431",860,"3,160",
PULMONARY,HMC - Al Narjis,202310,BASHAYER  ALBOGAMI,13,12,"7,883",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,521","1,453",420,"3,983",505
ER CLINIC,HMC - Al Narjis,202311,,18,18,441,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
CARDIOLOGY,HMC - Al Narjis,202311,SALEEM ALANAZI,20,20,"13,686",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,289","2,978","1,677","5,608",133
Clinical Nutrition,HMC - Al Ghadeer,202311,NAGHAM NAGHAM KHALED EL DADOUN,8,8,"1,156",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,156",,,,
DERMATOLOGY,HMC - Al Ghadeer,202311,HAIFA  ALFALAH,24,24,"16,310",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,000",306,"1,623","10,380",
ENDOCRINE CLINIC,HMC - Al Ghadeer,202311,Amani AlRifaii,71,68,"81,443",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,878","41,732",,"25,502","4,331"
ENDOCRINE CLINIC,HMC - Al Ghadeer,202311,ENAS  HASAN,64,61,"52,190",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,969","27,021",,"13,789","2,411"
ENDOCRINE CLINIC,HMC - Al Narjis,202311, NOURAH ALZUGHAIBI,118,116,"99,054",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"15,466","45,981",742,"35,626","1,239"
ENDOCRINE CLINIC,HMC - Al Narjis,202311,AMANI ALRIFAII,1,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,,
ENDOCRINE CLINIC,HMC - Al Narjis,202311,BAKHITAH  ALEID,149,145,"122,061",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"23,822","59,317",174,"35,738","3,009"
ENDOCRINE CLINIC,HMC - Al Narjis,202311,HAMAD  ALABLANI,55,55,"52,118",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,074","31,545",,"10,867",632
ENT CLINIC,HMC - Al Ghadeer,202311,ABDULAZIZ  ALANZI,52,51,"14,289",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,340",252,758,"4,593",345
ENT CLINIC,HMC - Al Ghadeer,202311,ABRAR TAWAKOUL,195,193,"51,358",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"28,439",532,"2,669","19,377",341
ENT CLINIC,HMC - Al Ghadeer,202311,Kholoud Alamri,15,15,"2,858",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,996",,,862,
ENT CLINIC,HMC - Al Ghadeer,202311,Noura Alnafea,12,12,"3,460",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,686",,992,782,
ENT CLINIC,HMC - Al Ghadeer,202311,SALEH  ALZEN,100,98,"22,431",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"13,753",,39,"8,638",
ENT CLINIC,HMC - Al Narjis,202311,Hisham Almutawa,86,86,"32,074",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,282",,"14,598","6,096",97
ENT CLINIC,HMC - Al Narjis,202311,Lamya Huwaimel,70,70,"17,538",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,236",,"4,806","3,496",
ENT CLINIC,HMC - Al Narjis,202311,Omar Alrashood,30,30,"15,054",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,833",,"8,575","2,530",116
